EmployeeID,PeriodStart,PeriodEnd,HourlyRate,HoursWorked,ExpectedGross,GrossPay,Underpaid,Flag
E024,2023-01-30,2023-02-13,24.02,82.0,2041.7,2041.7,0.0,No
E024,2023-02-13,2023-02-27,24.02,85.0,2149.79,2149.79,0.0,No
E025,2023-01-02,2023-01-16,34.44,82.0,2927.4,2927.4,-0.0,No
E025,2023-01-16,2023-01-30,34.44,87.0,3185.7,3185.7,0.0,No
E025,2023-01-30,2023-02-13,34.44,81.0,2875.74,2875.74,0.0,No
E025,2023-02-13,2023-02-27,34.44,82.0,2927.4,2927.4,-0.0,No
E026,2023-01-02,2023-01-16,26.38,88.0,2479.72,2479.72,0.0,No
E026,2023-01-16,2023-01-30,26.38,84.0,2321.44,2321.44,0.0,No
E026,2023-01-30,2023-02-13,26.38,88.0,2479.72,2479.72,0.0,No
E026,2023-02-13,2023-02-27,26.38,82.0,2242.3,2242.3,-0.0,No
E027,2023-01-02,2023-01-16,23.21,81.0,1938.04,1938.04,-0.0,No
E027,2023-01-16,2023-01-30,23.21,83.0,2007.66,2007.66,0.0,No
E027,2023-01-30,2023-02-13,23.21,80.0,1903.22,1903.22,0.0,No
E027,2023-02-13,2023-02-27,23.21,83.0,2007.66,2007.66,0.0,No
E028,2023-01-02,2023-01-16,23.26,82.0,1977.1,1977.1,0.0,No
E028,2023-01-16,2023-01-30,23.26,85.0,2081.77,2081.77,0.0,No
E028,2023-01-30,2023-02-13,23.26,82.0,1977.1,1977.1,0.0,No
E028,2023-02-13,2023-02-27,23.26,86.0,2116.66,2116.66,0.0,No
E029,2023-01-02,2023-01-16,33.02,89.0,3153.41,3153.41,0.0,No
E029,2023-01-16,2023-01-30,33.02,78.0,2608.58,2608.58,0.0,No
E029,2023-01-30,2023-02-13,33.02,87.0,3054.35,3054.35,0.0,No
E029,2023-02-13,2023-02-27,33.02,84.0,2905.76,2905.76,0.0,No
E030,2023-01-02,2023-01-16,29.85,80.0,2447.7,2447.7,0.0,No
E030,2023-01-16,2023-01-30,29.85,87.0,2761.12,2761.12,0.01,No
E030,2023-01-30,2023-02-13,29.85,85.0,2671.58,2671.57,0.0,No
E030,2023-02-13,2023-02-27,29.85,87.0,2761.12,2761.12,0.01,No
E031,2023-01-02,2023-01-16,32.49,83.0,2810.38,2810.39,-0.0,No
E031,2023-01-16,2023-01-30,32.49,85.0,2907.86,2907.86,-0.0,No
E031,2023-01-30,2023-02-13,32.49,83.0,2810.38,2810.39,-0.0,No
E031,2023-02-13,2023-02-27,32.49,86.0,2956.59,2956.59,0.0,No
E032,2023-01-02,2023-01-16,31.49,88.0,2960.06,2960.06,-0.0,No
E032,2023-01-16,2023-01-30,31.49,87.0,2912.82,2912.82,0.0,No
E032,2023-01-30,2023-02-13,31.49,82.0,2676.65,2676.65,-0.0,No
E032,2023-02-13,2023-02-27,31.49,84.0,2771.12,2771.12,0.0,No
E033,2023-01-02,2023-01-16,28.97,82.0,2462.45,2462.45,0.0,No
E033,2023-01-16,2023-01-30,28.97,82.0,2462.45,2462.45,0.0,No
E033,2023-01-30,2023-02-13,28.97,83.0,2505.9,2505.9,0.0,No
E033,2023-02-13,2023-02-27,28.97,85.0,2592.81,2592.81,0.0,No
E034,2023-01-02,2023-01-16,34.65,84.0,3049.2,3049.2,0.0,No
E034,2023-01-16,2023-01-30,34.65,82.0,2945.25,2945.25,0.0,No
E034,2023-01-30,2023-02-13,34.65,84.0,3049.2,3049.2,0.0,No
E034,2023-02-13,2023-02-27,34.65,90.0,3361.05,3361.05,0.0,No
E035,2023-01-02,2023-01-16,26.92,84.0,2368.96,2368.96,0.0,No
E035,2023-01-16,2023-01-30,26.92,87.0,2490.1,2490.1,0.0,No
E035,2023-01-30,2023-02-13,26.92,85.0,2409.34,2409.34,0.0,No
E035,2023-02-13,2023-02-27,26.92,85.0,2409.34,2310.08,99.26,Yes
E036,2023-01-02,2023-01-16,29.18,83.0,2524.07,2524.07,-0.0,No
E036,2023-01-16,2023-01-30,29.18,86.0,2655.38,2655.38,0.0,No
E036,2023-01-30,2023-02-13,29.18,88.0,2742.92,2742.92,0.0,No
E036,2023-02-13,2023-02-27,29.18,82.0,2480.3,2480.3,-0.0,No
E037,2023-01-02,2023-01-16,32.78,86.0,2982.98,2982.98,0.0,No
E037,2023-01-16,2023-01-30,32.78,89.0,3130.49,3130.49,0.0,No
E037,2023-01-30,2023-02-13,32.78,85.0,2933.81,2933.81,0.0,No
E037,2023-02-13,2023-02-27,32.78,83.0,2835.47,2835.47,0.0,No
E038,2023-01-02,2023-01-16,30.04,84.0,2643.52,2643.52,0.0,No
E038,2023-01-16,2023-01-30,30.04,86.0,2733.64,2733.64,0.0,No
E038,2023-01-30,2023-02-13,30.04,83.0,2598.46,2598.46,0.0,No
E038,2023-02-13,2023-02-27,30.04,81.0,2508.34,2426.82,81.52,Yes
E039,2023-01-02,2023-01-16,33.2,83.0,2871.8,2871.8,0.0,No
E039,2023-01-16,2023-01-30,33.2,84.0,2921.6,2921.6,0.0,No
E039,2023-01-30,2023-02-13,33.2,86.0,3021.2,3021.2,0.0,No
E039,2023-02-13,2023-02-27,33.2,83.0,2871.8,2773.11,98.69,Yes
E040,2023-01-02,2023-01-16,29.51,83.0,2552.62,2552.62,-0.0,No
E040,2023-01-16,2023-01-30,29.51,85.0,2641.15,2641.15,-0.0,No
E040,2023-01-30,2023-02-13,29.51,86.0,2685.41,2685.41,0.0,No
E040,2023-02-13,2023-02-27,29.51,87.0,2729.68,2729.68,-0.0,No
E041,2023-01-02,2023-01-16,31.16,84.0,2742.08,2742.08,0.0,No
E041,2023-01-16,2023-01-30,31.16,86.0,2835.56,2794.86,40.7,Yes
E041,2023-01-30,2023-02-13,31.16,85.0,2788.82,2788.82,-0.0,No
E041,2023-02-13,2023-02-27,31.16,85.0,2788.82,2788.82,-0.0,No
E042,2023-01-02,2023-01-16,22.6,87.0,2090.5,2090.5,0.0,No
E042,2023-01-16,2023-01-30,22.6,84.0,1988.8,1988.8,0.0,No
E042,2023-01-30,2023-02-13,22.6,86.0,2056.6,2056.6,0.0,No
E042,2023-02-13,2023-02-27,22.6,84.0,1988.8,1988.8,0.0,No
E043,2023-01-02,2023-01-16,24.96,87.0,2308.8,2308.8,0.0,No
E043,2023-01-16,2023-01-30,24.96,92.0,2496.0,2496.0,0.0,No
E043,2023-01-30,2023-02-13,24.96,87.0,2308.8,2308.8,0.0,No
E043,2023-02-13,2023-02-27,24.96,85.0,2233.92,2233.92,0.0,No
E044,2023-01-02,2023-01-16,25.76,86.0,2344.16,2315.8,28.36,Yes
E044,2023-01-16,2023-01-30,25.76,84.0,2266.88,2266.88,0.0,No
E044,2023-01-30,2023-02-13,25.76,83.0,2228.24,2228.24,0.0,No
E044,2023-02-13,2023-02-27,25.76,85.0,2305.52,2305.52,0.0,No
E045,2023-01-02,2023-01-16,23.04,83.0,1992.96,1992.96,0.0,No
E045,2023-01-16,2023-01-30,23.04,79.0,1854.72,1854.72,0.0,No
E045,2023-01-30,2023-02-13,23.04,81.0,1923.84,1923.84,0.0,No
E045,2023-02-13,2023-02-27,23.04,83.0,1992.96,1992.96,0.0,No
E046,2023-01-02,2023-01-16,25.03,91.0,2465.46,2465.46,-0.0,No
E046,2023-01-16,2023-01-30,25.03,84.0,2202.64,2202.64,0.0,No
E046,2023-01-30,2023-02-13,25.03,80.0,2052.46,2052.46,0.0,No
E046,2023-02-13,2023-02-27,25.03,86.0,2277.73,2277.73,0.0,No
E047,2023-01-02,2023-01-16,23.31,82.0,1981.35,1981.35,0.0,No
E047,2023-01-16,2023-01-30,23.31,84.0,2051.28,2051.28,-0.0,No
E047,2023-01-30,2023-02-13,23.31,88.0,2191.14,2191.14,0.0,No
E047,2023-02-13,2023-02-27,23.31,86.0,2121.21,2121.21,0.0,No
E048,2023-01-02,2023-01-16,25.61,88.0,2407.34,2407.34,0.0,No
E048,2023-01-16,2023-01-30,25.61,86.0,2330.51,2330.51,-0.0,No
E048,2023-01-30,2023-02-13,25.61,88.0,2407.34,2407.34,0.0,No
E048,2023-02-13,2023-02-27,25.61,86.0,2330.51,2330.51,-0.0,No
E049,2023-01-02,2023-01-16,30.26,84.0,2662.88,2662.88,0.0,No
E049,2023-01-16,2023-01-30,30.26,83.0,2617.49,2617.49,0.0,No
E049,2023-01-30,2023-02-13,30.26,87.0,2799.05,2799.05,0.0,No
E049,2023-02-13,2023-02-27,30.26,85.0,2708.27,2708.27,0.0,No
E050,2023-01-02,2023-01-16,26.74,84.0,2353.12,2353.12,0.0,No
E050,2023-01-16,2023-01-30,26.74,80.0,2192.68,2192.68,0.0,No
E050,2023-01-30,2023-02-13,26.74,84.0,2353.12,2353.12,0.0,No
E050,2023-02-13,2023-02-27,26.74,87.0,2473.45,2473.45,0.0,No
