SKU,SKUName,Category,Subcat,UnitsSold,AvgSellPrice,AvgUnitCost,UnitMargin,TotalMargin,Revenue,VendorID,VendorName,Region,Terms
SKU000384,On Shampoo,Personal Care,Shampoo,1151.0,5.311158571428572,4.508780208786428,0.12514691498685426,144.04409914986925,6113.143515714286,V0011,Martin-Chandler,VIC,Net30
SKU000063,Yeah Treats,Pet,Treats,1981.0,5.903262727272727,7.892652680652682,0.7172510708310096,1420.87437131623,11694.363462727273,V0006,Benson Group,VIC,Net45
SKU000537,Civil Coffee,Beverages,Coffee,1400.0,7.601161875000001,10.073529427792916,2.415150218558283,3381.2103059815963,10641.626625,V0006,Benson Group,VIC,Net45
SKU000174,Voice Soap,Personal Care,Soap,1233.0,7.57856,7.033784877529286,2.392548343558283,2950.012107607363,9344.36448,V0004,"Rose, Kramer and Smith",QLD,Net45
SKU000504,Dog Shampoo,Personal Care,Shampoo,1611.0,9.197720833333333,7.217161094108644,4.011709176891616,6462.863483972393,14817.5282625,V0013,Harrison and Sons,VIC,Net60
SKU000173,Act Nuts,Snacks,Nuts,2361.0,5.830928846153847,4.005480616438356,0.6449171897121291,1522.6494849103367,13766.823005769233,V0077,"Miller, Castillo and Vasquez",SA,Net45
SKU000232,Mean Chips,Snacks,Chips,3482.0,10.131318076923076,6.122844354512344,4.945306420481359,17219.556956116092,35277.24954384615,V0028,Vega Ltd,TAS,Net45
SKU000412,Reality Juice,Beverages,Juice,1169.0,7.587232500000001,7.192634602969659,2.401220843558283,2807.027166119633,8869.474792500001,V0048,"Sullivan, Benjamin and Whitehead",SA,Net60
SKU000456,Will Toothpaste,Personal Care,Toothpaste,1693.0,7.670816666666665,6.4063252681764,2.4848050102249477,4206.774882310837,12986.692616666664,V0044,Taylor-Le,TAS,Net30
SKU000001,Moment Chips,Snacks,Chips,1425.0,9.926714,8.089701955555554,4.740702343558283,6755.500839570554,14145.56745,V0058,"Schroeder, Gibbs and Smith",NSW,Net30
SKU000557,Scene Dry Food,Pet,Dry Food,2478.0,4.058420909090909,4.256112431056428,-1.1275907473508084,-2794.1698719353035,10056.767012727272,V0008,Fernandez-Benson,TAS,Net30
SKU000449,Sell Treats,Pet,Treats,1334.0,8.270888333333334,5.033495595734817,3.084876676891616,4115.225486973416,11033.365036666668,V0054,Barron-Howell,SA,Net60
SKU000484,Month Dry Food,Pet,Dry Food,1896.0,9.28209909090909,8.77289645539201,4.096087434467373,7766.181775750139,17598.859876363636,V0010,Martinez Inc,SA,Net60
SKU000425,Voice Soap,Personal Care,Soap,1114.0,9.248704166666668,8.688124321447578,4.0626925102249505,4525.839456390595,10303.056441666668,V0010,Martinez Inc,SA,Net60
SKU000560,Affect Treats,Pet,Treats,1753.0,7.415977777777779,1.7727,2.2299661213360613,3909.1306107021155,13000.209044444446,V0028,Vega Ltd,TAS,Net45
SKU000146,There Dry Food,Pet,Dry Food,3013.0,9.604492083333334,6.276587124912771,4.418480426891616,13312.881526224439,28938.334647083335,V0035,Williams-Scott,VIC,Net60
SKU000396,Goal Coffee,Beverages,Coffee,1044.0,8.527327,2.824,3.341315343558282,3488.3332186748466,8902.529387999999,V0040,"Pruitt, Mendoza and Benton",QLD,Net30
SKU000515,Stage Wipes,Cleaning,Wipes,1481.0,6.729531,4.637911852528945,1.5435193435582821,2285.952147809816,9966.435411,V0020,Johnson-Davis,WA,Net30
SKU000246,Raise Bars,Snacks,Bars,425.0,6.2157962499999995,7.87103040860215,1.029784593558282,437.6584522622698,2641.71340625,V0066,"Lopez, Jensen and Nguyen",SA,Net30
SKU000206,Issue Wet Food,Pet,Wet Food,1156.0,6.746785833333334,8.260115339521251,1.5607741768916163,1804.2549484867086,7799.284423333334,V0001,Butler Group,QLD,Net30
SKU000056,Edge Nuts,Snacks,Nuts,1746.0,8.4833585,6.154195226039783,3.297346843558282,5757.167588852761,14811.943941,V0042,"Mejia, Washington and Orr",TAS,Net30
SKU000455,Government Wipes,Cleaning,Wipes,1704.0,8.4995925,6.4223523998238665,3.3135808435582828,5646.3417574233135,14483.305620000001,V0079,"Blake, Barnett and Trevino",QLD,Net60
SKU000117,Test Spray,Cleaning,Spray,1702.0,7.106749166666667,6.454671572827417,1.9207375102249493,3269.0952424028637,12095.687081666667,V0074,Cummings-Bryant,SA,Net60
SKU000157,North Bars,Snacks,Bars,1684.0,9.513745,9.331558990211231,4.3277333435582825,7287.902950552148,16021.14658,V0010,Martinez Inc,SA,Net60
SKU000441,Find Tea,Beverages,Tea,2631.0,7.504484444444445,6.795497862720921,2.318472788002728,6099.901905235177,19744.298573333337,V0065,"Collins, Lyons and Fox",TAS,Net30
SKU000198,Coach Spray,Cleaning,Spray,1046.0,3.9720709999999997,3.323780962343096,-1.213940656441718,-1269.781926638037,4154.786266,V0053,Ryan-Nguyen,QLD,Net30
SKU000201,Early Nuts,Snacks,Nuts,2622.0,6.908633636363636,6.659090583173995,1.722621979921918,4516.714831355269,18114.437394545454,V0051,Hartman-Jones,WA,Net45
SKU000031,Box Chips,Snacks,Chips,986.0,7.855011428571429,5.269046153846153,2.6689997721297116,2631.6337753198954,7745.041268571429,V0035,Williams-Scott,VIC,Net60
SKU000354,Strategy Bars,Snacks,Bars,2317.0,8.270348181818182,8.8458,3.0843365253764645,7146.407729297268,19162.396737272727,V0036,Johnson-Wright,NSW,Net30
SKU000108,Hospital Spray,Cleaning,Spray,1067.0,7.455718333333334,7.8774,2.2697066768916168,2421.7770242433553,7955.251461666668,V0075,Ross LLC,NSW,Net45
SKU000390,Agreement Nuts,Snacks,Nuts,1820.0,10.54394,3.964038124054463,5.357928343558282,9751.429585276073,19189.9708,V0047,"Wright, Sosa and Fisher",NSW,Net60
SKU000203,Her Detergent,Cleaning,Detergent,2224.0,9.125241666666666,6.491009163987138,3.9392300102249482,8760.847542740285,20294.537466666665,V0051,Hartman-Jones,WA,Net45
SKU000186,Expect Nuts,Snacks,Nuts,1673.0,6.204348333333333,4.7048980198019805,1.0183366768916153,1703.6772604396724,10379.874761666666,V0037,Jones-Morgan,VIC,Net60
SKU000251,When Tea,Beverages,Tea,1379.0,6.660267222222222,5.834901708542714,1.4742555657805045,2032.9984252113159,9184.508499444444,V0015,"Novak, Shannon and Fischer",WA,Net30
SKU000297,Could Tea,Beverages,Tea,2756.0,6.541678636363636,2.605339336691855,1.355666979921918,3736.2181966648063,18028.86632181818,V0072,Jones-Johnson,QLD,Net45
SKU000081,Already Soap,Personal Care,Soap,2706.0,7.419357692307693,7.150212303290416,2.233346035865975,6043.434373053328,20076.781915384618,V0069,Sims Group,VIC,Net60
SKU000250,Pm Spray,Cleaning,Spray,1577.0,7.117883999999999,7.429861880341879,1.9318723435582816,3046.5626857914103,11224.903068,V0006,Benson Group,VIC,Net45
SKU000078,Bit Spray,Cleaning,Spray,1405.0,8.899395,8.498462751677852,3.7133833435582826,5217.303597699387,12503.649975,V0020,Johnson-Davis,WA,Net30
SKU000500,Loss Coffee,Beverages,Coffee,1400.0,12.089474,9.701575592055004,6.903462343558282,9664.847280981594,16925.2636,V0049,Thomas Group,NSW,Net45
SKU000310,Someone Chips,Snacks,Chips,2074.0,7.0238185,6.173154798439533,1.8378068435582824,3811.6113935398776,14567.399569,V0003,Morton-Hunt,SA,Net60
SKU000505,Leg Treats,Pet,Treats,1637.0,5.247225000000001,8.40472334437086,0.06121334355828356,100.2062434049102,8589.707325000001,V0007,"Townsend, Russell and Ramos",NSW,Net45
SKU000389,Around Shampoo,Personal Care,Shampoo,2061.0,8.12704875,8.315121119253831,2.9410370935582826,6061.47744982362,16749.84747375,V0046,Baker LLC,TAS,Net30
SKU000199,Alone Wipes,Cleaning,Wipes,434.0,8.540445,5.547462337662337,3.3544333435582825,1455.8240711042945,3706.5531300000002,V0076,Perez-Melendez,NSW,Net45
SKU000341,Law Detergent,Cleaning,Detergent,2233.0,10.392211499999998,5.697759630419332,5.206199843558281,11625.444250665641,23205.808279499997,V0044,Taylor-Le,TAS,Net30
SKU000222,Policy Wipes,Cleaning,Wipes,1520.0,10.47937857142857,5.353050996015935,5.293366914986853,8045.917710780017,15928.655428571428,V0031,Ware Group,QLD,Net30
SKU000423,Thus Dry Food,Pet,Dry Food,910.0,10.219473,9.388281835323696,5.033461343558283,4580.449822638037,9299.720430000001,V0077,"Miller, Castillo and Vasquez",SA,Net45
SKU000300,Remain Bars,Snacks,Bars,1820.0,5.8868219999999996,7.397317937092661,0.700810343558282,1275.4748252760733,10714.016039999999,V0053,Ryan-Nguyen,QLD,Net30
SKU000155,New Wet Food,Pet,Wet Food,986.0,10.705112000000002,7.848921128048781,5.519100343558284,5441.832938748468,10555.240432000002,V0022,Pierce Ltd,WA,Net30
SKU000247,Weight Wipes,Cleaning,Wipes,1139.0,10.416231999999999,7.3647947410571275,5.2302203435582815,5957.220971312882,11864.088247999998,V0004,"Rose, Kramer and Smith",QLD,Net45
SKU000082,Have Wipes,Cleaning,Wipes,1168.0,8.697872,7.270828057553957,3.5118603435582827,4101.852881276074,10159.114496,V0042,"Mejia, Washington and Orr",TAS,Net30
SKU000510,Question Shampoo,Personal Care,Shampoo,2808.0,7.263713076923078,3.4367865350089764,2.07770142048136,5834.18558871166,20396.506320000004,V0017,"Wilcox, Harris and Leblanc",WA,Net45
SKU000597,Sure Detergent,Cleaning,Detergent,1674.0,7.087050714285714,4.111259818731118,1.9010390578439962,3182.3393828308494,11863.722895714285,V0028,Vega Ltd,TAS,Net45
SKU000380,Mention Bars,Snacks,Bars,2671.0,9.437811499999999,6.263937395099026,4.251799843558281,11356.557382144169,25208.394516499997,V0059,Lin-Sanders,NSW,Net30
SKU000074,Region Water,Beverages,Water,1772.0,7.419643333333334,7.4684024871355055,2.2336316768916165,3957.9953314519444,13147.607986666668,V0071,Ruiz-Palmer,TAS,Net30
SKU000280,Itself Nuts,Snacks,Nuts,1662.0,6.878653333333333,5.8143709021601016,1.6926416768916157,2813.1704669938654,11432.32184,V0055,White Group,WA,Net30
SKU000549,Business Wipes,Cleaning,Wipes,1428.0,8.137885,6.222218355065196,2.951873343558283,4215.275134601228,11620.899780000002,V0065,"Collins, Lyons and Fox",TAS,Net30
SKU000414,Similar Toothpaste,Personal Care,Toothpaste,293.0,1.2856750000000001,4.731336103896104,-3.9003366564417172,-1142.7986403374232,376.70277500000003,V0071,Ruiz-Palmer,TAS,Net30
SKU000315,Site Spray,Cleaning,Spray,2479.0,5.8020625,3.8063393900889455,0.6160508435582823,1527.1900411809818,14383.312937499999,V0024,"Rodriguez, Caldwell and Sims",VIC,Net60
SKU000233,Color Soap,Personal Care,Soap,1845.0,8.830878125000002,7.581948470744679,3.644866468558284,6724.778634490034,16292.970140625002,V0001,Butler Group,QLD,Net30
SKU000519,So Juice,Beverages,Juice,2002.0,10.271476,5.773901338825953,5.085464343558282,10181.099615803681,20563.494952,V0004,"Rose, Kramer and Smith",QLD,Net45
SKU000089,After Chips,Snacks,Chips,1487.0,8.770201666666667,6.578808650116368,3.5841900102249493,5329.690545204499,13041.289878333333,V0024,"Rodriguez, Caldwell and Sims",VIC,Net60
SKU000521,Hair Juice,Beverages,Juice,1154.0,6.0918079999999994,4.033813679068019,0.9057963435582819,1045.2889804662573,7029.946432,V0072,Jones-Johnson,QLD,Net45
SKU000177,Relate Dry Food,Pet,Dry Food,1418.0,7.973497999999999,6.2437513116802,2.7874863435582817,3952.6556351656436,11306.420164,V0025,Reed-Harper,NSW,Net30
SKU000541,Throw Wipes,Cleaning,Wipes,1201.0,5.645069999999999,3.2331776418242493,0.4590583435582811,551.3290706134957,6779.7290699999985,V0060,"Thompson, Dawson and King",NSW,Net30
SKU000002,Imagine Detergent,Cleaning,Detergent,1851.0,7.2394992857142855,5.846725534477566,2.053487629272568,3801.005601783523,13400.313177857142,V0062,Parker LLC,VIC,Net60
SKU000488,Lay Toothpaste,Personal Care,Toothpaste,2065.0,5.716176999999999,5.892339797713281,0.5301653435582816,1094.7914344478515,11803.905504999999,V0012,Washington-Lopez,SA,Net60
SKU000375,Fine Juice,Beverages,Juice,1482.0,10.098774285714287,5.450605392156863,4.912762629272569,7280.714216581947,14966.383491428573,V0053,Ryan-Nguyen,QLD,Net30
SKU000554,Candidate Bars,Snacks,Bars,1800.0,7.982794285714286,5.1141262100456615,2.7967826292725686,5034.208732690623,14369.029714285714,V0006,Benson Group,VIC,Net45
SKU000581,Five Spray,Cleaning,Spray,1230.0,7.1389000000000005,6.915203966286565,1.952888343558283,2402.052662576688,8780.847,V0011,Martin-Chandler,VIC,Net30
SKU000437,Evidence Wet Food,Pet,Wet Food,1581.0,7.987014375000001,7.924980487804878,2.8010027185582835,4428.385298040646,12627.469726875002,V0043,Parker-Ferguson,VIC,Net30
SKU000205,Enough Soap,Personal Care,Soap,1068.0,9.326626875,6.079075813953488,4.140615218558283,4422.177053420246,9960.8375025,V0041,Pope-Keith,NSW,Net60
SKU000113,Central Chips,Snacks,Chips,1271.0,8.415277,7.152789565217392,3.229265343558282,4104.396251662576,10695.817067,V0010,Martinez Inc,SA,Net60
SKU000076,Pretty Wipes,Cleaning,Wipes,790.0,10.48705,7.536987920621226,5.301038343558282,4187.820291411043,8284.7695,V0025,Reed-Harper,NSW,Net30
SKU000042,Current Wet Food,Pet,Wet Food,604.0,6.91945625,7.226747912589695,1.733444593558282,1047.0005345092025,4179.351575,V0060,"Thompson, Dawson and King",NSW,Net30
SKU000006,Thank Nuts,Snacks,Nuts,1695.0,7.414840714285715,6.6076014590020415,2.2288290578439973,3777.8652530455756,12568.155010714287,V0056,Mckinney PLC,SA,Net45
SKU000188,Artist Toothpaste,Personal Care,Toothpaste,1673.0,9.74365,3.8137372536136662,4.557638343558283,7624.9289487730075,16301.126450000002,V0058,"Schroeder, Gibbs and Smith",NSW,Net30
SKU000476,Much Detergent,Cleaning,Detergent,1318.0,9.700605,5.0638,4.514593343558282,5950.234026809816,12785.39739,V0034,Schroeder-Webb,NSW,Net45
SKU000055,Decision Tea,Beverages,Tea,1893.0,6.076193,2.6962388819875778,0.8901813435582824,1685.1132833558286,11502.233349,V0053,Ryan-Nguyen,QLD,Net30
SKU000372,Red Toothpaste,Personal Care,Toothpaste,1221.0,5.820286,8.237391522988506,0.6342743435582827,774.4489734846632,7106.569206,V0072,Jones-Johnson,QLD,Net45
SKU000183,Them Wet Food,Pet,Wet Food,2010.0,6.911104166666667,7.00319854693403,1.7250925102249495,3467.4359455521485,13891.319375000001,V0072,Jones-Johnson,QLD,Net45
SKU000085,Worry Treats,Pet,Treats,2362.0,5.97904090909091,6.831466484184914,0.793029252649192,1873.1350947573915,14122.494627272728,V0080,"Wilkins, Baker and Olson",TAS,Net45
SKU000223,No Spray,Cleaning,Spray,1437.0,4.193073888888889,6.092913000890473,-0.9929377675528288,-1426.851571973415,6025.447178333333,V0068,"Kaiser, Rodriguez and Jones",QLD,Net45
SKU000106,Customer Wipes,Cleaning,Wipes,1872.0,10.848604,9.991830011909487,5.662592343558282,10600.372867141105,20308.586688,V0078,"Jacobs, Lewis and Cole",VIC,Net45
